"date","sex","fork_length","adipose_fin_clipped","carcass_condition","spawn_condition","count"
"2014-11-24","female",875,FALSE,"non fresh","spawned",1
"2013-10-22","female",880,FALSE,"non fresh","unspawned",1
"2013-11-05","male",880,FALSE,"non fresh",NA,2
"2013-10-15","male",880,TRUE,"non fresh",NA,1
"2015-12-16","female",885,FALSE,"non fresh","spawned",1
"2013-12-04","female",900,FALSE,"non fresh","spawned",1
"2013-11-13","male",900,FALSE,"fresh",NA,1
"2013-10-22","male",900,TRUE,"non fresh",NA,1
"2013-10-15","male",905,FALSE,"fresh",NA,1
"2013-10-22","male",930,FALSE,"non fresh",NA,1
"2014-11-19","male",930,FALSE,"fresh",NA,1
"2013-10-22","male",940,FALSE,"fresh",NA,1
"2013-11-13","male",995,FALSE,"non fresh",NA,1
"2014-12-01","male",1005,FALSE,"non fresh",NA,1
"2011-10-20","male",610,TRUE,"fresh",NA,1
"2015-11-19","male",620,FALSE,"fresh",NA,1
"2011-10-20","female",632,TRUE,"fresh","spawned",1
"2014-10-28","male",700,FALSE,"fresh",NA,1
"2020-11-19","female",805,FALSE,"fresh","spawned",1
"2013-10-22","male",810,TRUE,"fresh",NA,1
"2013-10-29","male",840,FALSE,"non fresh",NA,1
"2013-10-22","male",850,FALSE,"non fresh",NA,1
"2014-11-11","male",855,FALSE,"fresh",NA,1
"2013-10-22","male",900,FALSE,"fresh",NA,1
"2014-11-11","male",1015,FALSE,"fresh",NA,1
"2011-10-27","male",1105,FALSE,"non fresh",NA,1
"2011-11-03","male",570,FALSE,"non fresh",NA,1
"2009-11-25","female",610,NA,NA,NA,1
"2013-10-22","male",670,TRUE,"fresh",NA,1
"2013-10-22","male",770,FALSE,"fresh",NA,1
"2013-11-13","female",830,TRUE,"non fresh","spawned",1
"2009-10-08","female",830,NA,NA,NA,1
"2013-11-05","male",840,FALSE,"non fresh",NA,1
"2013-11-13","female",850,FALSE,"non fresh","spawned",1
"2013-11-13","female",860,FALSE,"fresh","spawned",1
"2013-11-13","male",875,FALSE,"non fresh",NA,1
"2013-10-22","male",905,TRUE,"fresh",NA,1
"2013-12-04","male",915,FALSE,"non fresh",NA,1
"2013-10-22","male",1060,FALSE,"fresh",NA,1
"2015-12-30","male",540,FALSE,"fresh",NA,1
"2015-12-08","female",560,FALSE,"fresh","spawned",1
"2015-12-08","female",580,FALSE,"non fresh","spawned",1
"2011-11-17","male",645,FALSE,"fresh",NA,1
"2014-11-24","male",670,FALSE,"non fresh",NA,1
"2011-12-15","female",760,TRUE,"non fresh","spawned",1
